"","Measurement Year","Measure Name","Medical Group Name","Clinic Name","Clinic City","Clinic Zip Code","Denominator","Actual Rate","ZIP","home_ownership_rate","educ_attainment_rate","private_vehicle_rate","insurance_coverage_rate","workplace_rate","public_transit_to_work_rate","aggregate_travel_time_rate","covid_rate","public_fqhc_ind","County","code","Adults TCOC"
"1",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","AALFA Family Clinic","AALFA Family Clinic-MHN","White Bear Lake",55110,160,0.3875,"55110",0.313816365415315,0.304856068798599,0.441732324012565,0.544260775529121,0.0438488078685823,0.00478912405376178,11.2288222874504,0,0,"Ramsey",1,599
"2",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Advanced Medical Clinic","Advanced Medical Clinic, Inc.","St. Paul",55103,74,0.3649,"55103",0.149432579121731,0.159441742440262,0.32205540283358,0.545781349122436,0.0415873687178403,0.073236061182773,10.138154648622,0,0,"Ramsey",1,NA
"3",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Abbott Northwestern General Medicine Associates - Edina","Edina",55439,209,0.3158,"55439",0.330817476347401,0.526629105984905,0.384607207398746,0.511321356436696,0.0425215265228022,0.00116934197937706,8.70362496013607,0,0,"Hennepin",1,706
"4",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Allina Mental Health - ANW","Minneapolis",55407,291,0.6495,"55407",0.235425605714139,0.318157292978084,0.340381799028802,0.554584928444798,0.0568330721204491,0.0527735669689885,11.0606099534955,0,0,"Hennepin",1,706
"5",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Allina Mental Health - United","St. Paul",55102,489,0.6667,"55102",0.239343743405782,0.437064781599494,0.395811352606035,0.6387423507069,0.0672610255328128,0.0380354505169867,10.5734332137582,0,0,"Ramsey",1,706
"6",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Allina Mental Health - Unity","Fridley",55432,364,0.7775,"55432",0.248578191767346,0.198130898582803,0.420732269667066,0.535706600264379,0.0259768206830828,0.0194903009622183,10.9316302376341,0,0,"Anoka",2,706
"7",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Annandale","Annandale",55302,75,0.4533,"55302",0.339160839160839,0.214265734265734,0.452447552447552,0.504195804195804,0.0355244755244755,0.00433566433566434,14.6629370629371,0,0,"Wright",2,706
"8",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Bandana Square","St. Paul",55108,542,0.393,"55108",0.234837615755837,0.501891222120777,0.367549236989696,0.638711360375636,0.0965175427155341,0.0593452458588757,10.3844398069649,0,0,"Ramsey",1,706
"9",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Blaine","Blaine",55449,221,0.3213,"55449",0.311740497099712,0.30107910172073,0.398003823843935,0.572539615671279,0.0260863929485725,0.00742084967108461,10.8378430927768,0,0,"Anoka",2,706
"10",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Bloomington","Bloomington",55425,281,0.5125,"55425",0.156516996909653,0.198782039629158,0.387565897109616,0.523268496636975,0.0235411743319396,0.0267224141065261,10.1586075259044,0,0,"Hennepin",1,706
"11",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Brooklyn Park","Brooklyn Park",55443,278,0.4209,"55443",0.269927536231884,0.240338164251208,0.429861111111111,0.551932367149758,0.0506340579710145,0.027536231884058,11.2223731884058,0,0,"Hennepin",1,706
"12",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Buffalo","Buffalo",55313,223,0.5112,"55313",0.296241738991958,0.191934071184011,0.446452743052791,0.51285930408472,0.0226132653873716,0.00262759773867346,13.311967513337,0,0,"Wright",2,706
"13",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Buffalo Crossroads","Buffalo",55313,268,0.4627,"55313",0.296241738991958,0.191934071184011,0.446452743052791,0.51285930408472,0.0226132653873716,0.00262759773867346,13.311967513337,0,0,"Wright",2,706
"14",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Burnsville","Burnsville",55337,124,0.3387,"55337",0.266534197866555,0.257331102279858,0.440577285086802,0.554465592972182,0.0365404727044551,0.0170675590880569,11.1336540472704,0,0,NA,NA,706
"15",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Cambridge","Cambridge",55008,879,0.4198,"55008",0.316428431564519,0.151230337445336,0.45186345538803,0.549246132758958,0.0450362247895046,0.000783238691991384,14.0245414790157,0,0,"Isanti",2,706
"16",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Centennial Lakes","Edina",55435,227,0.4229,"55435",0.234058023703919,0.494219443030611,0.358321820693667,0.508616301897768,0.0551152475823457,0.0157056642187159,7.84992365302116,0,0,"Hennepin",1,706
"17",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Champlin","Champlin",55316,392,0.3444,"55316",0.328558864178917,0.244377434351049,0.472881852829082,0.58453742094903,0.0280604766092893,0.0111823093353436,13.0918875905683,0,0,"Hennepin",1,706
"18",2019,"PHQ-9 Follow-up Rate at 6 Months Adult","Allina Health","Allina Health - Chaska","Chaska",55318,104,0.3558,"55318",0.271143162761809,0.292916048445533,0.465787930023119,0.574859390635244,0.0386460094544702,0.00683206238570098,12.0530692522687,0,0,"Carver",2,706
